"IDFACTURA";"IDVCTO";"FECHA";"IMPORTE"
240;197;21/4/2002 0:00:00;112.46 €
243;198;25/3/2002 0:00:00;8079.82 €
244;199;25/1/2002 0:00:00;23.77 €
246;200;25/3/2002 0:00:00;96.14 €
249;201;30/3/2002 0:00:00;761.57 €
250;202;15/4/2002 0:00:00;3533.63 €
251;203;25/3/2002 0:00:00;3735.71 €
254;204;25/3/2002 0:00:00;636.86 €
256;205;23/4/2002 0:00:00;627.56 €
257;206;;2638.59 €
258;207;29/4/2002 0:00:00;793.31 €
259;208;30/4/2002 0:00:00;731.96 €
260;209;29/4/2002 0:00:00;786.25 €
262;210;25/4/2002 0:00:00;6462.75 €
263;211;10/5/2002 0:00:00;1321.23 €
264;212;8/5/2002 0:00:00;443.68 €
265;213;8/4/2002 0:00:00;202.13 €
266;214;23/2/2002 0:00:00;11.86 €
267;215;27/4/2002 0:00:00;331.78 €
268;216;8/5/2002 0:00:00;27.84 €
269;217;20/5/2002 0:00:00;1490.16 €
270;218;8/5/2002 0:00:00;1595.46 €
271;219;30/5/2002 0:00:00;365.60 €
272;220;8/4/2002 0:00:00;662.33 €
273;221;15/4/2002 0:00:00;1242.35 €
273;222;15/5/2002 0:00:00;1242.25 €
274;223;6/5/2002 0:00:00;1684.29 €
275;224;8/4/2002 0:00:00;345.46 €
276;225;10/5/2002 0:00:00;1207.89 €
277;226;10/4/2002 0:00:00;1287.17 €
278;227;5/5/2002 0:00:00;294.07 €
279;228;8/5/2002 0:00:00;2082.78 €
280;229;10/5/2002 0:00:00;1981.55 €
281;230;20/5/2002 0:00:00;1226.13 €
284;231;8/4/2002 0:00:00;607.84 €
291;232;31/1/2002 0:00:00;492.35 €
292;233;10/5/2002 0:00:00;1044.79 €
293;234;15/5/2002 0:00:00;368.56 €
294;235;30/4/2002 0:00:00;313.76 €
295;236;30/4/2002 0:00:00;1103.80 €
296;237;30/4/2002 0:00:00;321.25 €
297;238;10/5/2002 0:00:00;223.07 €
298;239;30/4/2002 0:00:00;1449.34 €
299;240;30/4/2002 0:00:00;77.45 €
300;241;8/4/2002 0:00:00;745.96 €
301;242;8/3/2002 0:00:00;99.28 €
302;243;8/4/2002 0:00:00;191.89 €
303;244;8/5/2002 0:00:00;1848.51 €
304;245;25/5/2002 0:00:00;158.60 €
305;246;8/4/2002 0:00:00;773.85 €
309;247;11/1/2002 0:00:00;1415.21 €
310;248;12/2/2002 0:00:00;618.08 €
311;249;10/3/2002 0:00:00;655.00 €
312;250;29/1/2002 0:00:00;357.00 €
313;251;29/4/2002 0:00:00;1290.00 €
313;252;29/5/2002 0:00:00;1290.00 €
314;253;15/4/2002 0:00:00;3870.00 €
315;254;15/4/2002 0:00:00;2382.11 €
316;255;10/5/2002 0:00:00;976.96 €
317;256;15/5/2002 0:00:00;485.75 €
318;257;15/5/2002 0:00:00;364.55 €
319;258;15/5/2002 0:00:00;2686.87 €
320;259;25/5/2002 0:00:00;627.47 €
321;260;15/4/2002 0:00:00;820.13 €
323;261;27/4/2002 0:00:00;30.45 €
324;262;15/4/2002 0:00:00;1838.70 €
325;263;15/4/2002 0:00:00;608.03 €
327;264;15/4/2002 0:00:00;520.09 €
328;265;15/5/2002 0:00:00;688.27 €
328;266;15/6/2002 0:00:00;688.26 €
329;267;25/4/2002 0:00:00;2408.13 €
330;268;15/4/2002 0:00:00;668.15 €
331;269;25/4/2002 0:00:00;471.25 €
332;270;10/6/2002 0:00:00;744.56 €
332;271;10/7/2002 0:00:00;744.56 €
332;272;10/8/2002 0:00:00;744.56 €
333;273;25/5/2002 0:00:00;718.75 €
334;274;15/5/2002 0:00:00;998.33 €
335;275;25/5/2002 0:00:00;533.97 €
336;276;25/5/2002 0:00:00;576.83 €
337;277;27/4/2002 0:00:00;101.73 €
338;278;15/5/2002 0:00:00;1673.71 €
339;279;25/5/2002 0:00:00;878.02 €
342;280;15/4/2002 0:00:00;604.44 €
343;281;10/5/2002 0:00:00;1159.26 €
344;282;15/5/2002 0:00:00;697.16 €
345;283;27/4/2002 0:00:00;1714.06 €
346;284;15/5/2002 0:00:00;593.00 €
347;285;15/4/2002 0:00:00;697.16 €
348;286;15/5/2002 0:00:00;1377.55 €
349;287;25/4/2002 0:00:00;352.94 €
352;288;15/4/2002 0:00:00;452.50 €
353;289;30/4/2002 0:00:00;697.16 €
354;290;15/5/2002 0:00:00;1055.28 €
355;291;15/5/2002 0:00:00;2524.97 €
356;292;15/4/2002 0:00:00;716.37 €
357;293;15/5/2002 0:00:00;697.28 €
385;294;10/6/2002 0:00:00;633.20 €
386;295;30/4/2002 0:00:00;405.74 €
387;296;15/2/2002 0:00:00;316.67 €
389;297;25/5/2002 0:00:00;517.79 €
390;298;16/5/2002 0:00:00;220.38 €
391;299;16/5/2002 0:00:00;404.56 €
393;300;;0.00 €
394;301;16/5/2002 0:00:00;270.25 €
396;302;16/5/2002 0:00:00;785.53 €
397;303;20/5/2002 0:00:00;124.99 €
400;304;15/2/2002 0:00:00;124.34 €
401;305;16/5/2002 0:00:00;2409.73 €
402;306;25/5/2002 0:00:00;3062.30 €
403;307;16/5/2002 0:00:00;3808.63 €
404;308;16/4/2002 0:00:00;879.88 €
405;309;25/5/2002 0:00:00;813.73 €
406;310;16/5/2002 0:00:00;613.45 €
407;311;16/5/2002 0:00:00;44.00 €
408;312;15/6/2002 0:00:00;1214.37 €
410;313;16/5/2002 0:00:00;238.50 €
411;314;16/5/2002 0:00:00;578.99 €
412;315;25/2/2002 0:00:00;129.68 €
416;316;15/5/2002 0:00:00;748.78 €
417;317;15/4/2002 0:00:00;16445.51 €
419;318;15/4/2002 0:00:00;1048.06 €
419;319;15/5/2002 0:00:00;1048.06 €
420;320;15/4/2002 0:00:00;1208.43 €
420;321;15/5/2002 0:00:00;1208.43 €
421;322;22/3/2002 0:00:00;25.40 €
422;323;5/6/2002 0:00:00;2715.98 €
423;324;22/4/2002 0:00:00;1237.89 €
424;325;10/5/2002 0:00:00;115.45 €
425;326;22/3/2002 0:00:00;1477.11 €
426;327;5/4/2002 0:00:00;375.77 €
427;328;22/4/2002 0:00:00;98.01 €
428;329;22/5/2002 0:00:00;2509.82 €
429;330;22/4/2002 0:00:00;966.79 €
431;331;25/4/2002 0:00:00;376.42 €
432;332;22/5/2002 0:00:00;237.31 €
435;333;25/5/2002 0:00:00;203.32 €
436;334;27/4/2002 0:00:00;21.58 €
437;335;25/4/2002 0:00:00;2385.59 €
438;336;25/5/2002 0:00:00;18.66 €
440;337;22/4/2002 0:00:00;377.00 €
442;338;15/5/2002 0:00:00;619.44 €
442;339;15/6/2002 0:00:00;619.44 €
443;340;22/5/2002 0:00:00;461.02 €
443;341;22/6/2002 0:00:00;461.02 €
444;342;5/6/2002 0:00:00;1034.38 €
446;343;22/4/2002 0:00:00;858.86 €
447;344;22/5/2002 0:00:00;1025.28 €
450;345;10/6/2002 0:00:00;1181.54 €
451;346;10/6/2002 0:00:00;730.80 €
451;347;10/7/2002 0:00:00;730.80 €
451;348;10/8/2002 0:00:00;730.80 €
452;349;25/4/2002 0:00:00;102.49 €
453;350;25/5/2002 0:00:00;435.46 €
454;351;22/5/2002 0:00:00;1374.91 €
455;352;20/6/2002 0:00:00;2074.03 €
456;353;22/4/2002 0:00:00;666.48 €
457;354;23/3/2002 0:00:00;1479.39 €
458;355;22/4/2002 0:00:00;193.05 €
459;356;22/4/2002 0:00:00;151.91 €
459;357;;0.00 €
460;358;22/5/2002 0:00:00;43.22 €
461;359;25/5/2002 0:00:00;1500.68 €
462;360;22/4/2002 0:00:00;1131.00 €
465;361;15/5/2002 0:00:00;669.27 €
466;362;15/4/2002 0:00:00;2456.39 €
466;363;15/5/2002 0:00:00;2456.39 €
466;364;15/6/2002 0:00:00;2456.39 €
466;365;15/7/2002 0:00:00;2456.39 €
466;366;15/8/2002 0:00:00;2456.39 €
467;367;22/3/2002 0:00:00;1753.75 €
469;368;27/4/2002 0:00:00;748.26 €
470;369;10/5/2002 0:00:00;626.40 €
471;370;15/5/2002 0:00:00;1484.80 €
472;371;5/2/2002 0:00:00;870.00 €
473;372;5/6/2002 0:00:00;1945.25 €
473;373;5/7/2002 0:00:00;1945.24 €
474;374;22/5/2002 0:00:00;739.69 €
476;375;22/5/2002 0:00:00;483.30 €
477;376;22/5/2002 0:00:00;112.31 €
479;377;22/4/2002 0:00:00;836.59 €
480;378;22/4/2002 0:00:00;700.93 €
482;379;;0.00 €
483;380;25/5/2002 0:00:00;86.59 €
484;381;20/5/2002 0:00:00;2185.20 €
485;382;20/5/2002 0:00:00;259.91 €
486;383;15/5/2002 0:00:00;305.25 €
487;384;25/5/2002 0:00:00;1336.52 €
488;385;10/6/2002 0:00:00;73.76 €
489;386;15/5/2002 0:00:00;157.53 €
490;387;9/3/2002 0:00:00;474.25 €
491;388;5/4/2002 0:00:00;166.90 €
492;389;25/5/2002 0:00:00;294.14 €
493;390;25/5/2002 0:00:00;96.20 €
494;391;15/4/2002 0:00:00;1891.43 €
495;392;25/5/2002 0:00:00;137.49 €
496;393;25/5/2002 0:00:00;77.96 €
498;394;25/4/2002 0:00:00;67.52 €
516;395;20/5/2002 0:00:00;873.56 €
519;396;14/5/2002 0:00:00;392.08 €
523;397;29/5/2002 0:00:00;338.85 €
524;398;29/5/2002 0:00:00;222.50 €
525;399;29/5/2002 0:00:00;254.52 €
526;400;29/5/2002 0:00:00;1497.90 €
527;401;25/6/2002 0:00:00;669.73 €
528;402;29/5/2002 0:00:00;270.31 €
529;403;10/6/2002 0:00:00;222.26 €
530;404;5/6/2002 0:00:00;281.45 €
531;405;28/2/2002 0:00:00;260.18 €
532;406;28/2/2002 0:00:00;148.38 €
533;407;25/6/2002 0:00:00;295.71 €
534;408;29/5/2002 0:00:00;273.35 €
535;409;29/5/2002 0:00:00;705.40 €
536;410;29/5/2002 0:00:00;887.71 €
537;411;15/6/2002 0:00:00;164.33 €
538;412;29/5/2002 0:00:00;486.60 €
539;413;29/5/2002 0:00:00;474.38 €
541;414;25/5/2002 0:00:00;186.31 €
543;415;10/6/2002 0:00:00;695.03 €
544;416;28/4/2002 0:00:00;1103.33 €
545;417;28/3/2002 0:00:00;371.55 €
546;418;28/5/2002 0:00:00;1688.67 €
547;419;28/4/2002 0:00:00;630.19 €
548;420;15/5/2002 0:00:00;2233.67 €
550;421;15/5/2002 0:00:00;485.75 €
550;422;15/6/2002 0:00:00;485.75 €
551;423;30/5/2002 0:00:00;529.83 €
553;424;25/6/2002 0:00:00;453.15 €
554;425;25/6/2002 0:00:00;98.53 €
555;426;28/5/2002 0:00:00;1793.95 €
556;427;15/5/2002 0:00:00;1470.85 €
558;428;28/4/2002 0:00:00;1046.60 €
558;429;28/5/2002 0:00:00;1046.60 €
558;430;28/6/2002 0:00:00;1046.60 €
558;431;28/7/2002 0:00:00;1046.60 €
559;432;28/4/2002 0:00:00;1531.95 €
561;433;10/6/2002 0:00:00;246.50 €
562;434;10/6/2002 0:00:00;512.99 €
564;435;20/6/2002 0:00:00;379.13 €
565;436;5/6/2002 0:00:00;2610.00 €
567;437;10/5/2002 0:00:00;2037.42 €
569;438;15/5/2002 0:00:00;543.81 €
570;439;28/5/2002 0:00:00;108.05 €
574;440;28/5/2002 0:00:00;50.19 €
576;441;28/4/2002 0:00:00;919.76 €
577;442;28/3/2002 0:00:00;66.93 €
578;443;28/4/2002 0:00:00;375.82 €
579;444;10/5/2002 0:00:00;898.26 €
580;445;5/7/2002 0:00:00;360.81 €
582;446;28/4/2002 0:00:00;1096.68 €
