"IDPROMOCION";"IDFIRMA";"IDFAMILIA";"IDARTICULO";"FECHALIMITE";"CANTIDADMINIMA";"NETO";"DESCUENTO";"COMISION"
3878;"02";"04";"90410501";31/3/2016 0:00:00;1,00;435,00 €;30,00;6,00
3879;"02";"04";"90410501";31/3/2016 0:00:00;1,00;435,00 €;27,00;6,00
3880;"02";"04";"26101005";31/3/2016 0:00:00;1,00;20,00 €;30,00;6,00
3881;"02";"04";"26101005";31/3/2016 0:00:00;1,00;20,00 €;27,00;6,00
3882;"02";"04";"26201010";31/3/2016 0:00:00;1,00;36,00 €;30,00;6,00
3883;"02";"04";"26201010";31/3/2016 0:00:00;1,00;36,00 €;27,00;6,00
3884;"02";"04";"26202010";31/1/2015 0:00:00;1,00;40,00 €;30,00;6,00
3885;"02";"04";"26202010";31/1/2015 0:00:00;1,00;40,00 €;27,00;6,00
3886;"02";"08";"ND1103";31/1/2016 0:00:00;1,00;209,00 €;30,00;6,00
3887;"02";"08";"ND1103";31/1/2016 0:00:00;1,00;209,00 €;27,00;6,00
3888;"02";"08";"GC9005";31/12/2014 0:00:00;1,00;30,00 €;30,00;6,00
3889;"02";"08";"GC9005";31/12/2014 0:00:00;1,00;30,00 €;27,00;6,00
3890;"02";"08";"ER1105";30/6/2013 0:00:00;1,00;529,00 €;30,00;6,00
3891;"02";"08";"ER1105";30/6/2013 0:00:00;1,00;529,00 €;27,00;6,00
3892;"02";"08";"ER1104";30/6/2013 0:00:00;1,00;499,00 €;30,00;6,00
3893;"02";"08";"ER1104";30/6/2013 0:00:00;1,00;499,00 €;27,00;6,00
3894;"02";"08";"ER2102";31/3/2016 0:00:00;1,00;310,00 €;30,00;6,00
3895;"02";"08";"ER2102";31/3/2016 0:00:00;1,00;310,00 €;27,00;0,00
3896;"02";"08";"ER1101";31/3/2016 0:00:00;1,00;285,00 €;30,00;6,00
3897;"02";"08";"ER1101";31/3/2016 0:00:00;1,00;285,00 €;27,00;6,00
3898;"02";"08";"VV1200";30/6/2013 0:00:00;1,00;599,00 €;30,00;6,00
3899;"02";"08";"VV1200";30/6/2013 0:00:00;1,00;599,00 €;27,00;0,00
3900;"18";"01";"0955-F5";31/12/2012 0:00:00;1,00;1,25 €;0,00;5,00
3901;"18";"01";"0606";31/12/2012 0:00:00;1,00;2,05 €;0,00;5,00
3902;"18";"01";"2092";31/12/2012 0:00:00;1,00;2,20 €;0,00;5,00
3903;"09";"03";"20000005";;0,00;0,00 €;0,00;0,00
3904;"01";"02";"S-2";31/12/2016 0:00:00;24,00;14,00 €;0,00;7,00
3906;"01";"02";"A5172F";30/6/2013 0:00:00;1,00;299,00 €;33,00;7,00
3907;"01";"02";"A5172F";30/6/2013 0:00:00;1,00;299,00 €;30,00;7,00
3908;"01";"02";"A5172F";30/6/2013 0:00:00;1,00;299,00 €;27,00;7,00
3909;"01";"02";"A5172F";30/6/2013 0:00:00;1,00;299,00 €;25,00;7,00
3910;"01";"02";"KCK-30A";28/2/2016 0:00:00;1,00;695,00 €;33,00;7,00
3911;"01";"02";"KCK-30A";28/2/2016 0:00:00;1,00;695,00 €;30,00;7,00
3912;"01";"02";"KCK-30A";28/2/2016 0:00:00;1,00;695,00 €;27,00;7,00
3913;"01";"02";"KCK-30A";28/2/2016 0:00:00;1,00;695,00 €;25,00;7,00
3914;"01";"02";"T2X";28/2/2016 0:00:00;1,00;340,00 €;33,00;7,00
3915;"01";"02";"T2X";28/2/2016 0:00:00;1,00;340,00 €;30,00;7,00
3916;"01";"02";"T2X";28/2/2016 0:00:00;1,00;340,00 €;27,00;7,00
3917;"01";"02";"T2X";28/2/2016 0:00:00;1,00;340,00 €;25,00;7,00
3918;"01";"02";"N15-4C";28/2/2016 0:00:00;1,00;1999,00 €;33,00;7,00
3919;"01";"02";"N15-4C";28/2/2016 0:00:00;1,00;1999,00 €;30,00;7,00
3920;"01";"02";"N15-4C";28/2/2016 0:00:00;1,00;1999,00 €;27,00;7,00
3921;"01";"02";"N15-4C";28/2/2016 0:00:00;1,00;1999,00 €;25,00;7,00
3922;"01";"02";"KPD-50AE";31/1/2014 0:00:00;1,00;2995,00 €;33,00;7,00
3923;"01";"02";"KPD-50AE";31/1/2014 0:00:00;1,00;2995,00 €;30,00;7,00
3924;"01";"02";"KPD-50AE";31/1/2014 0:00:00;1,00;2995,00 €;27,00;7,00
3925;"01";"02";"KPD-50AE";31/1/2014 0:00:00;1,00;2995,00 €;25,00;7,00
3926;"01";"02";"MGH-30S";28/2/2016 0:00:00;1,00;499,00 €;33,00;7,00
3927;"01";"02";"MGH-30S";28/2/2016 0:00:00;1,00;499,00 €;30,00;7,00
3928;"01";"02";"MGH-30S";28/2/2016 0:00:00;1,00;499,00 €;27,00;7,00
3929;"01";"02";"MGH-30S";28/2/2016 0:00:00;1,00;499,00 €;25,00;7,00
3930;"01";"02";"FC-5CS";28/2/2016 0:00:00;1,00;580,00 €;33,00;7,00
3931;"01";"02";"FC-5CS";28/2/2016 0:00:00;1,00;580,00 €;30,00;7,00
3932;"01";"02";"FC-5CS";28/2/2016 0:00:00;1,00;580,00 €;27,00;7,00
3933;"01";"02";"FC-5CS";28/2/2016 0:00:00;1,00;580,00 €;25,00;7,00
3934;"01";"02";"FC-10CS";28/2/2016 0:00:00;1,00;725,00 €;33,00;7,00
3935;"01";"02";"FC-10CS";28/2/2016 0:00:00;1,00;725,00 €;30,00;7,00
3936;"01";"02";"FC-10CS";28/2/2016 0:00:00;1,00;725,00 €;27,00;7,00
3937;"01";"02";"FC-10CS";28/2/2016 0:00:00;1,00;725,00 €;25,00;7,00
3938;"01";"02";"FC-20CS";28/2/2016 0:00:00;1,00;1000,00 €;33,00;7,00
3939;"01";"02";"FC-20CS";28/2/2016 0:00:00;1,00;1000,00 €;30,00;7,00
3940;"01";"02";"FC-20CS";28/2/2016 0:00:00;1,00;1000,00 €;27,00;7,00
3941;"01";"02";"FC-20CS";28/2/2016 0:00:00;1,00;1000,00 €;25,00;7,00
3942;"01";"01";"MG-2";28/2/2016 0:00:00;1,00;38,00 €;33,00;7,00
3943;"01";"01";"MG-2";28/2/2016 0:00:00;1,00;38,00 €;30,00;7,00
3944;"01";"01";"MG-2";28/2/2016 0:00:00;1,00;38,00 €;27,00;7,00
3945;"01";"01";"MG-2";28/2/2016 0:00:00;1,00;38,00 €;25,00;7,00
3946;"01";"01";"MG-3";28/2/2016 0:00:00;1,00;46,00 €;33,00;7,00
3947;"01";"01";"MG-3";28/2/2016 0:00:00;1,00;46,00 €;30,00;7,00
3948;"01";"01";"MG-3";28/2/2016 0:00:00;1,00;46,00 €;27,00;7,00
3949;"01";"01";"MG-3";28/2/2016 0:00:00;1,00;46,00 €;25,00;7,00
3950;"01";"01";"MG-5";28/2/2016 0:00:00;1,00;52,00 €;33,00;7,00
3951;"01";"01";"MG-10";28/2/2016 0:00:00;1,00;67,00 €;33,00;7,00
3952;"01";"01";"MG-15";28/2/2016 0:00:00;1,00;86,00 €;33,00;7,00
3953;"01";"01";"MG-20";28/2/2016 0:00:00;1,00;105,00 €;33,00;7,00
3954;"01";"01";"MG-30";28/2/2016 0:00:00;1,00;145,00 €;33,00;7,00
3955;"01";"01";"MG-40";28/2/2016 0:00:00;1,00;219,00 €;33,00;7,00
3956;"01";"01";"MG-50";28/2/2016 0:00:00;1,00;295,00 €;33,00;7,00
3957;"01";"01";"MG-5";28/2/2016 0:00:00;1,00;52,00 €;30,00;7,00
3958;"01";"01";"MG-10";28/2/2016 0:00:00;1,00;67,00 €;30,00;7,00
3959;"01";"01";"MG-15";28/2/2016 0:00:00;1,00;86,00 €;30,00;7,00
3960;"01";"01";"MG-20";28/2/2016 0:00:00;1,00;105,00 €;30,00;7,00
3961;"01";"01";"MG-30";28/2/2016 0:00:00;1,00;145,00 €;30,00;7,00
3962;"01";"01";"MG-40";28/2/2016 0:00:00;1,00;219,00 €;30,00;7,00
3963;"01";"01";"MG-50";28/2/2016 0:00:00;1,00;295,00 €;30,00;7,00
3964;"01";"01";"MG-5";28/2/2016 0:00:00;1,00;52,00 €;27,00;7,00
3965;"01";"01";"MG-10";28/2/2016 0:00:00;1,00;67,00 €;27,00;7,00
3966;"01";"01";"MG-15";28/2/2016 0:00:00;1,00;86,00 €;27,00;7,00
3967;"01";"01";"MG-20";28/2/2016 0:00:00;1,00;105,00 €;27,00;7,00
3968;"01";"01";"MG-30";28/2/2016 0:00:00;1,00;145,00 €;27,00;7,00
3969;"01";"01";"MG-40";28/2/2016 0:00:00;1,00;219,00 €;27,00;7,00
3970;"01";"01";"MG-50";28/2/2016 0:00:00;1,00;295,00 €;27,00;7,00
3971;"01";"01";"MG-5";28/2/2016 0:00:00;1,00;52,00 €;25,00;7,00
3972;"01";"01";"MG-10";28/2/2016 0:00:00;1,00;67,00 €;25,00;7,00
3973;"01";"01";"MG-20";28/2/2016 0:00:00;1,00;105,00 €;25,00;7,00
3974;"01";"01";"MG-15";28/2/2016 0:00:00;1,00;86,00 €;25,00;7,00
3975;"01";"01";"MG-30";28/2/2016 0:00:00;1,00;145,00 €;25,00;7,00
3976;"01";"01";"MG-40";28/2/2016 0:00:00;1,00;219,00 €;25,00;7,00
3977;"01";"01";"MG-50";28/2/2016 0:00:00;1,00;295,00 €;25,00;7,00
3978;"02";"05";"EWIV11020MT";31/3/2016 0:00:00;1,00;325,00 €;30,00;6,00
3979;"02";"05";"EWIV11020MT";31/3/2016 0:00:00;1,00;325,00 €;27,00;6,00
3980;"02";"02";"020120";31/12/2014 0:00:00;1,00;489,00 €;30,00;6,00
3981;"02";"02";"020120";31/12/2014 0:00:00;1,00;489,00 €;27,00;6,00
3982;"02";"06";"CH-1111";31/1/2015 0:00:00;1,00;302,00 €;30,00;6,00
3983;"02";"06";"CH-1111";31/1/2015 0:00:00;1,00;302,00 €;27,00;6,00
3984;"02";"04";"90570001";31/3/2016 0:00:00;1,00;955,00 €;30,00;6,00
3985;"02";"04";"90570001";31/3/2016 0:00:00;1,00;955,00 €;27,00;6,00
3986;"02";"04";"90570011";31/3/2016 0:00:00;1,00;1155,00 €;30,00;6,00
3987;"02";"04";"90570011";31/3/2016 0:00:00;1,00;1155,00 €;27,00;6,00
3990;"02";"03";"99805862";31/12/2013 0:00:00;1,00;265,00 €;30,00;6,00
3991;"02";"03";"99805862";31/12/2013 0:00:00;1,00;265,00 €;27,00;6,00
3992;"18";"01";"4470";31/12/2013 0:00:00;20,00;12,95 €;0,00;5,00
3993;"18";"01";"0083";31/12/2014 0:00:00;1,00;0,07 €;0,00;5,00
3994;"18";"01";"0311";31/12/2014 0:00:00;1,00;0,70 €;0,00;5,00
3995;"18";"01";"0312";31/12/2014 0:00:00;1,00;0,70 €;0,00;5,00
3996;"18";"01";"0322";31/12/2014 0:00:00;1,00;0,90 €;0,00;5,00
3997;"18";"01";"0390";31/12/2014 0:00:00;1,00;1,05 €;0,00;5,00
3998;"18";"01";"0391";31/12/2014 0:00:00;1,00;1,05 €;0,00;5,00
